17
0	0	0	-6268	VeryCold	Wettest	VeryDeep_Ocean	Ocean	Water	Empty	17,1
1	1	0	-5078	VeryCold	Wettest	Deep_Ocean	Ocean	Water,Fish	Empty	0,18,2
2	2	0	-3861	VeryCold	Wettest	Deep_Ocean	Ocean	Water,Fish,Brown_Coal,Graphite,Saltpeter	Empty	1,19,3
3	3	0	-2554	VeryCold	Wettest	MidDepth_Ocean	Ocean	Water,Fish,Brown_Coal,Phosphorus,Saltpeter	Empty	2,20,4
4	4	0	-831	Warm	Wettest	Shallow_Ocean	Ocean	Water,Fish,Lead,Phosphorus	CountryA	3,21,5
5	5	0	-614	Warm	Wettest	Shallow_Ocean	Ocean	Water,Fish	CountryA	4,22,6
6	6	0	106	VeryWarm	Wet	Jungle	Brown	Soil,Cereal_Crops,Black_Coal,Iron,Nickel	CountryA	5,23,7
7	7	0	747	VeryWarm	VeryWet	Jungle	Brown	Soil,Cereal_Crops,Black_Coal,Iron,Nickel	CountryA	6,24,8
8	8	0	1755	Hot	Wettest	Jungle	Brown	Soil,Cereal_Crops,Black_Coal,Iron,Nickel	CountryA	7,25,9
9	9	0	2837	VeryWarm	Wet	Mount_Conifer	Slimy_Tundra	Forest,Goats,Black_Coal,Nickel	CountryA	8,26,10
10	10	0	4300	Warm	Neutral	Alpine_Tundra	Slimy_Tundra	Forest	CountryA	9,27,11
11	11	0	5864	Cold	Driest	Alpine_Tundra	Slimy_Tundra	Forest	CountryA	10,28,12
12	12	0	7913	VeryCold	Driest	Glacier	Arctic	Oil	CountryA	11,29,13
13	13	0	7859	VeryCold	Driest	Glacier	Arctic	Brown_Coal,Oil,Aluminium,Salt,Saltpeter	CountryA	12,30,14
14	14	0	8149	VeryCold	Driest	Glacier	Arctic	Brown_Coal,Oil,Aluminium,Uranium,Phosphorus	CountryA	13,31,15
15	15	0	8378	VeryCold	Driest	Glacier	Arctic	Brown_Coal,Oil,Aluminium,Graphite	CountryA	14,32,16
16	16	0	8604	VeryCold	Driest	Glacier	Arctic	Brown_Coal,Oil,Aluminium,Salt	CountryA	15,33
17	0	1	-5727	VeryCold	Wettest	Deep_Ocean	Ocean	Water,Fish	Empty	0,34,18
18	1	1	-5105	VeryCold	Wettest	Deep_Ocean	Ocean	Water,Fish,Brown_Coal	Empty	1,17,35,19
19	2	1	-4105	VeryCold	Wettest	Deep_Ocean	Ocean	Water,Fish,Brown_Coal,Phosphorus	Empty	2,18,36,20
20	3	1	-2969	VeryCold	Wettest	MidDepth_Ocean	Ocean	Water,Fish,Brown_Coal	Empty	3,19,37,21
21	4	1	-1918	Neutral	Wettest	MidDepth_Ocean	Ocean	Water,Fish,Titan	Empty	4,20,38,22
22	5	1	-1172	Neutral	Wettest	MidDepth_Ocean	Ocean	Water,Fish,Titan	Empty	5,21,39,23
23	6	1	-440	VeryWarm	Wettest	Shallow_Ocean	Ocean	Water,Fish,Black_Coal,Titan	CountryA	6,22,40,24
24	7	1	380	VeryWarm	Wet	Jungle	Brown	Soil,Cereal_Crops,Black_Coal,Iron,Nickel	CountryA	7,23,41,25
25	8	1	1282	Hot	VeryWet	Jungle	Brown	Soil,Cereal_Crops,Black_Coal,Iron,Uranium	CountryA	8,24,42,26
26	9	1	2456	VeryWarm	NeutralWet	Mount_Conifer	Slimy_Tundra	Forest,Goats,Black_Coal,Iron	CountryA	9,25,43,27
27	10	1	3841	VeryWarm	Neutral	Alpine_Tundra	Slimy_Tundra	Forest,Black_Coal	CountryA	10,26,44,28
28	11	1	5378	Cold	Driest	Alpine_Tundra	Slimy_Tundra	Forest,Oil	CountryA	11,27,45,29
29	12	1	6719	VeryCold	Driest	Glacier	Arctic	Brown_Coal,Oil,Mercury	CountryA	12,28,46,30
30	13	1	7516	VeryCold	Driest	Glacier	Arctic	Brown_Coal,Oil,Aluminium	CountryA	13,29,47,31
31	14	1	7994	VeryCold	Driest	Glacier	Arctic	Brown_Coal,Oil,Aluminium,Uranium	CountryA	14,30,48,32
32	15	1	8382	VeryCold	Driest	Glacier	Arctic	Brown_Coal,Oil,Aluminium,Uranium,Salt	CountryA	15,31,49,33
33	16	1	8610	VeryCold	Driest	Glacier	Arctic	Brown_Coal,Gas,Aluminium,Salt	CountryA	16,32,50
34	0	2	-5809	VeryCold	Wettest	Deep_Ocean	Ocean	Water,Fish,Nickel	Empty	17,51,35
35	1	2	-5271	VeryCold	Wettest	Deep_Ocean	Ocean	Water,Fish,Brown_Coal,Nickel	Empty	18,34,52,36
36	2	2	-4483	VeryCold	Wettest	Deep_Ocean	Ocean	Water,Fish,Brown_Coal,Tin	Empty	19,35,53,37
37	3	2	-3608	VeryCold	Wettest	Deep_Ocean	Ocean	Water,Fish	Empty	20,36,54,38
38	4	2	-2699	Cold	Wettest	MidDepth_Ocean	Ocean	Water,Fish,Titan	Empty	21,37,55,39
